Case_Type,Rank,Sample,FP_Reduction_None_minus_PRAP,Delta_Dice_PRAP_minus_None,Delta_Precision_PRAP_minus_None,Delta_Recall_PRAP_minus_None,FN_Increase_PRAP_minus_None,Baseline_Dice,Baseline_IoU,Baseline_Precision,Baseline_Recall,Baseline_HD95,Baseline_FP,Baseline_FN,Area_Dice,Area_IoU,Area_Precision,Area_Recall,Area_HD95,Area_FP,Area_FN,Entropy_Dice,Entropy_IoU,Entropy_Precision,Entropy_Recall,Entropy_HD95,Entropy_FP,Entropy_FN,Seeded_Dice,Seeded_IoU,Seeded_Precision,Seeded_Recall,Seeded_HD95,Seeded_FP,Seeded_FN,PRAP_Dice,PRAP_IoU,PRAP_Precision,PRAP_Recall,PRAP_HD95,PRAP_FP,PRAP_FN
failure,3,cju3y21quj0ir0818kgjagr15,5,-0.09949322572750163,-0.0023052873681110864,-0.13847718238683626,4494,0.844593521052167,0.7309925436988143,0.9887979497354498,0.7370967244938834,35.4852021448136,271,8532,0.8443895117859981,0.7306869575846473,0.9887933173434786,0.7367885865713494,34.9857113690718,271,8542,0.7503246505232603,0.6004156606253247,0.9866405504495003,0.605336948818291,115.8013840664737,266,12808,0.8443895117859981,0.7306869575846473,0.9887933173434786,0.7367885865713494,34.9857113690718,271,8542,0.7451002953246654,0.5937528653076194,0.9864926623673387,0.5986195421070472,47.82983236185012,266,13026
failure,4,cju2yi9tz8vky0801yqip0xyl,85,-0.062249085957898576,0.0011243888050198603,-0.1053767418917253,3418,0.9254886591877725,0.8613112063463116,0.9838558483491303,0.8736588975212727,32.46535157025696,465,4098,0.9254886591877725,0.8613112063463116,0.9838558483491303,0.8736588975212727,32.46535157025696,465,4098,0.9254886591877725,0.8613112063463116,0.9838558483491303,0.8736588975212727,32.46535157025696,465,4098,0.9254886591877725,0.8613112063463116,0.9838558483491303,0.8736588975212727,32.46535157025696,465,4098,0.8632395732298739,0.7593856655290102,0.9849802371541502,0.7682821556295474,36.13169755864105,380,7516
failure,5,cju8c2rqzs5t80850d0zky5dy,6361,0.012966888972500201,0.11095720417026278,-0.10243244644987293,3950,0.8612210683183533,0.7562671246881774,0.7814493978449186,0.9591307504797469,94.01329614218803,10344,1576,0.8617528163189226,0.7570875892985077,0.7823254436618229,0.9591307504797469,94.03350454546414,10291,1576,0.8617528163189226,0.7570875892985077,0.7823254436618229,0.9591307504797469,94.03350454546414,10291,1576,0.8617528163189226,0.7570875892985077,0.7823254436618229,0.9591307504797469,94.03350454546414,10291,1576,0.8741879572908535,0.7764954753790104,0.8924066020151814,0.856698304029874,35.71045618227983,3983,5526
failure,6,cju7avvi51iox0817ym55y6tt,2029,-0.047145381147079446,0.03423822224508066,-0.09111887239615823,5844,0.8363589390285912,0.7187430618256094,0.9341143428747307,0.7571254833478858,78.24703614842021,3425,15577,0.8363589390285912,0.7187430618256094,0.9341143428747307,0.7571254833478858,78.24703614842021,3425,15577,0.8363589390285912,0.7187430618256094,0.9341143428747307,0.7571254833478858,78.24703614842021,3425,15577,0.8363589390285912,0.7187430618256094,0.9341143428747307,0.7571254833478858,78.24703614842021,3425,15577,0.7892135578815117,0.651818958676677,0.9683525651198114,0.6660066109517275,78.44424752349315,1396,21421
failure,7,cju2r6mt2om21099352pny5gw,2,-0.08856757577568708,-0.005310790352377359,-0.08851269008636681,3341,0.6211444988526101,0.4504783121478181,0.9767574018298574,0.4553595082922694,86.35762218524103,409,20558,0.6211444988526101,0.4504783121478181,0.9767574018298574,0.4553595082922694,86.35762218524103,409,20558,0.6211444988526101,0.4504783121478181,0.9767574018298574,0.4553595082922694,86.35762218524103,409,20558,0.6211444988526101,0.4504783121478181,0.9767574018298574,0.4553595082922694,86.35762218524103,409,20558,0.5325769230769231,0.36293345215317274,0.97144661147748,0.3668468182059026,93.24785685097346,407,23899
failure,8,cju2tpfa5uyx408359datxqqj,4,-0.047117498828750604,-0.001662842129768305,-0.0801080823333068,1008,0.9268762295425056,0.8637179187144083,0.9791298195967457,0.8799173488039418,14.484311706373234,236,1511,0.9268762295425056,0.8637179187144083,0.9791298195967457,0.8799173488039418,14.484311706373234,236,1511,0.9268762295425056,0.8637179187144083,0.9791298195967457,0.8799173488039418,14.484311706373234,236,1511,0.9268762295425056,0.8637179187144083,0.9791298195967457,0.8799173488039418,14.484311706373234,236,1511,0.879758730713755,0.78532969176746,0.9774669774669774,0.799809266470635,27.80287754891569,232,2519
neutral,1,cju0s690hkp960855tjuaqvv0,0,0.0,0.0,0.0,0,0.9660041272944498,0.9342436974789916,0.9487945380840623,0.9838495575221239,3.1622776601683795,240,73,0.9660041272944498,0.9342436974789916,0.9487945380840623,0.9838495575221239,3.1622776601683795,240,73,0.9660041272944498,0.9342436974789916,0.9487945380840623,0.9838495575221239,3.1622776601683795,240,73,0.9660041272944498,0.9342436974789916,0.9487945380840623,0.9838495575221239,3.1622776601683795,240,73,0.9660041272944498,0.9342436974789916,0.9487945380840623,0.9838495575221239,3.1622776601683795,240,73
neutral,2,cju160wshltz10993i1gmqxbe,0,0.0,0.0,0.0,0,0.9333333333333333,0.875,0.894281729428173,0.975951293759513,4.0,379,79,0.9333333333333333,0.875,0.894281729428173,0.975951293759513,4.0,379,79,0.9333333333333333,0.875,0.894281729428173,0.975951293759513,4.0,379,79,0.9333333333333333,0.875,0.894281729428173,0.975951293759513,4.0,379,79,0.9333333333333333,0.875,0.894281729428173,0.975951293759513,4.0,379,79
neutral,3,cju16d65tzw9d0799ouslsw25,0,0.0,0.0,0.0,0,0.952822380400596,0.9098956686689852,0.9149578763312669,0.993956138836125,4.47213595499958,535,35,0.952822380400596,0.9098956686689852,0.9149578763312669,0.993956138836125,4.47213595499958,535,35,0.952822380400596,0.9098956686689852,0.9149578763312669,0.993956138836125,4.47213595499958,535,35,0.952822380400596,0.9098956686689852,0.9149578763312669,0.993956138836125,4.47213595499958,535,35,0.952822380400596,0.9098956686689852,0.9149578763312669,0.993956138836125,4.47213595499958,535,35
neutral,4,cju1819curo000988pd5xcqme,0,0.0,0.0,0.0,0,0.9555633446274876,0.9149078976806623,0.9906330749354005,0.9228917475362973,12.625281329767143,116,1025,0.9555633446274876,0.9149078976806623,0.9906330749354005,0.9228917475362973,12.625281329767143,116,1025,0.9555633446274876,0.9149078976806623,0.9906330749354005,0.9228917475362973,12.625281329767143,116,1025,0.9555633446274876,0.9149078976806623,0.9906330749354005,0.9228917475362973,12.625281329767143,116,1025,0.9555633446274876,0.9149078976806623,0.9906330749354005,0.9228917475362973,12.625281329767143,116,1025
neutral,5,cju1b75x63ddl0799sdp0i2j3,0,0.0,0.0,0.0,0,0.9466804265565876,0.8987589810581319,0.9046679815910585,0.9927849927849928,8.781278896873417,870,60,0.9466804265565876,0.8987589810581319,0.9046679815910585,0.9927849927849928,8.781278896873417,870,60,0.9466804265565876,0.8987589810581319,0.9046679815910585,0.9927849927849928,8.781278896873417,870,60,0.9466804265565876,0.8987589810581319,0.9046679815910585,0.9927849927849928,8.781278896873417,870,60,0.9466804265565876,0.8987589810581319,0.9046679815910585,0.9927849927849928,8.781278896873417,870,60
neutral,6,cju1cdxvz48hw0801i0fjwcnk,0,0.0,0.0,0.0,0,0.9556766126036895,0.9151155898043865,0.9437584056730651,0.9678996865203762,5.385164807134504,460,256,0.9556766126036895,0.9151155898043865,0.9437584056730651,0.9678996865203762,5.385164807134504,460,256,0.9556766126036895,0.9151155898043865,0.9437584056730651,0.9678996865203762,5.385164807134504,460,256,0.9556766126036895,0.9151155898043865,0.9437584056730651,0.9678996865203762,5.385164807134504,460,256,0.9556766126036895,0.9151155898043865,0.9437584056730651,0.9678996865203762,5.385164807134504,460,256
neutral,7,cju1cqc7n4gpy0855jt246k68,0,0.0,0.0,0.0,0,0.9457523029682702,0.8970873786407767,0.9170710189677989,0.976285513031228,7.615773105863909,376,101,0.9457523029682702,0.8970873786407767,0.9170710189677989,0.976285513031228,7.615773105863909,376,101,0.9457523029682702,0.8970873786407767,0.9170710189677989,0.976285513031228,7.615773105863909,376,101,0.9457523029682702,0.8970873786407767,0.9170710189677989,0.976285513031228,7.615773105863909,376,101,0.9457523029682702,0.8970873786407767,0.9170710189677989,0.976285513031228,7.615773105863909,376,101
neutral,8,cju1cu1u2474n0878tt7v4tdr,0,0.0,0.0,0.0,0,0.9161168708765316,0.8452173913043478,0.8769397329483941,0.9589581689029203,3.0,341,104,0.9161168708765316,0.8452173913043478,0.8769397329483941,0.9589581689029203,3.0,341,104,0.9161168708765316,0.8452173913043478,0.8769397329483941,0.9589581689029203,3.0,341,104,0.9161168708765316,0.8452173913043478,0.8769397329483941,0.9589581689029203,3.0,341,104,0.9161168708765316,0.8452173913043478,0.8769397329483941,0.9589581689029203,3.0,341,104
